artist,genre
FABOLOUS featuring CHRIS BROWN,"['pop rap', 'trap music', 'southern hip hop', 'hip hop', 'alternative hip hop', 'dirty south rap', 'rap', 'hardcore hip hop']"
Baghdaddy,['witch house']
The Qemists,"['drum and bass', 'big beat', 'breakbeat', 'neurofunk', 'liquid funk', 'jump up', 'jungle', 'electronic']"
NgaFsh,[]
ANIMALS,"['british blues', 'psychedelic rock', 'british invasion', 'classic rock', 'protopunk', 'blues-rock', 'folk rock', 'glam rock', 'rock', 'mellow gold', 'album rock', 'roots rock']"
Douster,"['fidget house', 'moombahton', 'destroy techno']"
Tone-Tone,['detroit hip hop']
Allen Iverson,[]
Beaver Shoot,['detroit hip hop']
Electric Moon,['deep space rock']
MARTHA REEVES,[]
Freedy Johnston,"['singer-songwriter', 'alternative country', 'roots rock', 'cowpunk', 'jangle pop', 'folk']"
Jason Michael Carroll,"['contemporary country', 'country road', 'country christmas', 'country', 'modern country rock']"
Reactive,[]
SAILCAT,['southern rock']
Clicks & Whistles,"['trapstep', 'vapor house', 'footwork', 'future garage']"
RED RIDER,"['album rock', 'rock', 'soft rock', 'classic rock']"
GIANT STEPS,[]
JOHN HANDY,[]
NATURE'S DIVINE,[]
OVERLANDERS,"['merseybeat', 'british invasion']"
RICK SPRINGFIELD,"['album rock', 'soft rock', 'mellow gold', 'rock']"
Luke Bryan,"['country road', 'contemporary country', 'country', 'country christmas']"
SHERBET,['australian pop']
Skeam,"['dubstep', 'bass music']"
FIREHOUSE,"['heavy christmas', 'glam metal', 'hard rock', 'album rock', 'rock']"
LD,"['dubstep', 'bass music']"
PIERO UMILIANI,['classic soundtrack']
Virtual Light,['full on']
ROMEO SANTOS,"['hurban', 'bachata', 'tropical']"
THE NEW COLONY SIX,['classic garage rock']
COUNTING CROWS featuring VANESSA CARLTON,"['pop rock', 'neo mellow', 'singer-songwriter', 'post-grunge', 'roots rock', 'folk-pop', 'alternative rock']"
Japanther,"['noise rock', 'noise pop', 'experimental rock', 'dance-punk']"
Freddie Gibbs,"['alternative hip hop', 'trap music', 'pop rap', 'hip hop']"
MATT MONRO,"['adult standards', 'christmas', 'lounge', 'easy listening']"
LV,"['bass music', 'footwork', 'future garage', 'dubstep']"
Erol Alkan,['electro house']
EMBLEM3,['talent show']
THE MYSTICS,['doo-wop']
Gemma Fox,"['bassline', 'uk garage', 'speed garage', 'grime']"
GARY'S GANG,"['deep disco', 'post-disco', 'disco']"
